"Date","Open","High","Low","Close","Volume"
"05/24/2023","182.23","184.22","178.22","182.9","137,605,100"
"05/23/2023","186.2","192.96","185.26","185.77","156,952,100"
"05/22/2023","180.7","189.32","180.11","188.87","132,001,400"
"05/19/2023","177.17","181.95","176.31","180.14","136,196,700"
"05/18/2023","174.22","177.06","172.45","176.89","109,520,300"
"05/17/2023","168.41","174.5","167.185","173.86","125,473,600"
"05/16/2023","165.65","169.5184","164.35","166.52","98,288,790"
"05/15/2023","167.655","169.76","164.5499","166.35","105,592,500"
"05/12/2023","176.07","177.38","167.23","167.98","157,849,600"
"05/11/2023","168.7","173.57","166.79","172.08","103,889,900"
"05/10/2023","172.55","174.43","166.68","168.54","119,840,700"
"05/09/2023","168.95","169.82","166.56","169.15","88,965,040"
"05/08/2023","173.72","173.8","169.19","171.79","112,249,400"
"05/05/2023","163.97","170.7899","163.51","170.06","107,607,300"
"05/04/2023","162.71","162.95","159.65","161.2","95,108,490"
"05/03/2023","160.01","165","159.91","160.61","119,728,000"
"05/02/2023","161.88","165.49","158.93","160.31","128,259,700"
"05/01/2023","163.17","163.28","158.83","161.83","109,015,000"
"04/28/2023","160.9","165","157.32","164.31","122,515,800"
"04/27/2023","152.64","160.48","152.37","160.19","127,015,200"
"04/26/2023","160.29","160.67","153.14","153.75","153,364,100"
"04/25/2023","159.82","163.47","158.75","160.67","121,999,300"
"04/24/2023","164.65","165.65","158.61","162.55","140,006,600"
"04/21/2023","164.8","166","161.3208","165.08","123,539,000"
"04/20/2023","166.165","169.7","160.56","162.99","210,970,800"
"04/19/2023","179.1","183.5","177.65","180.59","125,732,700"
"04/18/2023","187.15","187.69","183.5775","184.31","92,067,020"
"04/17/2023","186.32","189.69","182.69","187.04","116,662,200"
"04/14/2023","183.95","186.28","182.01","185","96,438,660"
"04/13/2023","182.955","186.5","180.94","185.9","112,933,000"
"04/12/2023","190.74","191.5846","180.31","180.54","150,256,300"
"04/11/2023","186.69","189.19","185.6475","186.79","115,770,900"
"04/10/2023","179.94","185.1","176.11","184.51","142,154,600"
"04/06/2023","183.08","186.39","179.74","185.06","123,857,900"
"04/05/2023","190.515","190.68","183.76","185.52","133,882,500"
"04/04/2023","197.32","198.7446","190.32","192.58","126,463,800"
"04/03/2023","199.91","202.6897","192.2","194.77","169,545,900"
"03/31/2023","197.53","207.79","197.2","207.46","170,222,100"
"03/30/2023","195.58","197.33","194.42","195.28","110,252,200"
"03/29/2023","193.13","195.29","189.44","193.88","123,660,000"
"03/28/2023","192","192.35","185.43","189.19","98,654,640"
"03/27/2023","194.415","197.39","189.94","191.81","120,851,600"
"03/24/2023","191.65","192.36","187.15","190.41","116,531,600"
"03/23/2023","195.26","199.31","188.65","192.22","144,193,900"
"03/22/2023","199.3","200.66","190.95","191.15","150,376,400"
"03/21/2023","188.28","198","188.04","197.58","153,391,400"
"03/20/2023","178.08","186.44","176.35","183.25","129,684,400"
"03/17/2023","184.515","186.2199","177.33","180.13","133,197,100"
"03/16/2023","180.365","185.81","178.84","184.13","121,374,500"
"03/15/2023","180.8","182.34","176.03","180.45","145,995,600"
"03/14/2023","177.31","183.8","177.1401","183.26","143,717,900"
"03/13/2023","167.455","177.35","163.91","174.48","167,790,300"
"03/10/2023","175.13","178.29","168.44","173.44","191,488,900"
"03/09/2023","180.25","185.18","172.5124","172.92","170,023,800"
"03/08/2023","185.04","186.5","180","182","151,897,800"
"03/07/2023","191.38","194.2","186.1","187.71","148,125,800"
"03/06/2023","198.54","198.6","192.3","193.81","128,100,100"
"03/03/2023","194.795","200.48","192.88","197.79","154,193,300"
"03/02/2023","186.74","193.7499","186.01","190.9","181,979,200"
"03/01/2023","206.21","207.2","198.52","202.77","156,852,800"
"02/28/2023","210.59","211.23","203.75","205.71","153,144,900"
"02/27/2023","202.03","209.42","201.26","207.63","161,028,300"
"02/24/2023","196.325","197.6695","192.8","196.88","142,228,100"
