"series","o","h","l","c","v"
"20160222T","11.3413","11.9273","11.3233","11.8493","75830062"
"20160223T","11.744","12.1153","11.5787","11.814","89744850"
"20160224T","11.5167","11.9667","11.1893","11.9333","80780495"
"20160225T","11.91","12.568","11.68","12.4953","85905077"
"20160226T","12.58","12.8","12.3333","12.6893","90810870"
"20160229T","12.8267","13.09","12.6148","12.7953","67430996"
"20160301T","12.95","13.0632","12.18","12.4233","100435510"
"20160302T","12.2487","12.568","12.1","12.556","72879429"
"20160303T","12.552","13.1613","12.2813","13.0493","72344859"
"20160304T","13.2","13.602","13.1667","13.4027","97197821"
"20160307T","13.1787","13.98","13.16","13.686","79966415"
"20160308T","13.5667","13.8333","13.48","13.5067","62632439"
"20160309T","13.6347","13.9582","13.5193","13.9147","48113931"
"20160310T","14.0","14.2193","13.3781","13.6787","77873991"
"20160311T","13.862","13.9613","13.6887","13.8333","50087195"
"20160314T","14.1767","14.448","14.0427","14.3433","60934530"
"20160315T","14.2847","14.598","14.1","14.556","46998427"
"20160316T","14.5333","14.8387","14.468","14.7953","52678069"
"20160317T","14.7647","15.2333","14.6667","15.092","56536217"
"20160318T","15.2733","15.632","15.204","15.516","70571380"
"20160321T","15.6893","15.992","15.6667","15.888","79335170"
"20160322T","15.814","15.9327","15.5039","15.616","64545748"
"20160323T","15.4913","15.6487","14.802","14.8387","74043008"
"20160324T","14.3853","15.2592","14.3333","15.1833","74349023"
"20160328T","15.4407","15.654","15.0","15.3507","58178956"
"20160329T","15.326","15.492","15.022","15.342","60090525"
"20160330T","15.6727","15.7","15.1","15.126","60385020"
"20160331T","15.2893","15.828","15.0007","15.318","119634510"
"20160401T","16.3217","16.5267","15.55","15.8393","239698530"
"20160404T","16.608","16.808","16.2427","16.466","200717300"
"20160405T","16.0333","17.104","16.0","17.0313","148971976"
"20160406T","16.9313","17.8493","16.8967","17.6947","175436312"
"20160407T","17.7633","17.956","16.9673","17.1467","132683439"
"20160408T","17.3667","17.388","16.5347","16.6713","110290550"
"20160411T","16.7333","17.266","16.3533","16.6613","137345991"
"20160412T","16.6333","16.7867","16.242","16.5213","86330222"
"20160413T","16.5673","17.0333","16.4887","16.9687","73823273"
"20160414T","16.8667","17.1226","16.7367","16.7907","61938839"
"20160415T","16.754","16.9733","16.608","16.9673","56228867"
"20160418T","16.8153","17.2207","16.7773","16.9253","63948658"
"20160419T","16.8747","16.958","16.0834","16.4913","95270352"
"20160420T","16.4173","16.9107","16.1","16.6647","77885106"
"20160421T","16.5993","16.7267","16.4607","16.5527","41656164"
"20160422T","16.5927","16.9333","16.3807","16.9167","56746862"
"20160425T","16.8673","17.1587","16.7173","16.788","54976293"
"20160426T","16.8033","17.0487","16.626","16.916","48266661"
"20160427T","16.85","17.0","16.6267","16.7647","47971551"
"20160428T","16.6567","16.8953","16.496","16.514","37733906"
"20160429T","16.5427","16.562","15.854","16.0507","81077419"
"20160502T","16.1","16.2127","15.6547","16.12","57584341"
"20160503T","15.824","15.9273","15.4413","15.488","64444843"
"20160504T","15.3527","15.6307","14.6933","14.8373","128249996"
"20160505T","15.2307","15.2427","13.986","14.102","168725016"
"20160506T","14.058","14.4247","13.874","14.3287","85255082"
"20160509T","14.3813","14.41","13.7867","13.928","71594844"
"20160510T","13.8367","13.9647","13.6667","13.9127","61020764"
"20160511T","13.8393","14.3653","13.7367","13.9307","77394561"
"20160512T","14.096","14.1113","13.5772","13.8187","54751098"
"20160513T","13.852","14.08","13.78","13.8407","42309219"
"20160516T","13.8767","14.21","13.8613","13.886","44186288"
"20160517T","13.9367","13.988","13.6013","13.644","42630399"
"20160518T","13.9433","14.354","13.85","14.078","83290338"
"20160519T","14.2413","14.4527","13.82","14.3473","102268779"
"20160520T","14.466","14.7033","14.4233","14.6853","134948123"
"20160523T","14.658","14.84","14.3907","14.4147","76451227"
"20160524T","14.44","14.5827","14.3453","14.5273","45139882"
"20160525T","14.5273","14.7573","14.434","14.6387","46969162"
"20160526T","14.7","15.0173","14.6033","15.008","60997650"
"20160527T","14.9993","15.062","14.7167","14.8693","54686853"
"20160531T","14.8693","14.9833","14.7667","14.882","41800209"
"20160601T","14.7653","14.8267","14.4593","14.6373","44734028"
"20160602T","14.6393","14.6606","14.474","14.5973","30259170"
"20160603T","14.6667","14.796","14.534","14.5993","33391633"
"20160606T","14.5333","14.7267","14.3633","14.712","33639493"
"20160607T","14.816","15.6293","14.768","15.4893","92912264"
"20160608T","15.5867","16.0563","15.507","15.7013","89476605"
"20160609T","15.6653","15.6887","15.1373","15.2907","66813297"
"20160610T","15.1593","15.198","14.5615","14.586","89918175"
"20160613T","14.6333","15.0513","14.5107","14.5247","62817464"
"20160614T","14.592","14.8133","14.1687","14.3307","53637303"
"20160615T","14.4633","14.7933","14.342","14.5133","43575008"
"20160616T","14.4947","14.536","14.2333","14.5287","36580362"
"20160617T","14.5207","14.666","14.3","14.3647","46615987"
"20160620T","14.6333","14.9167","14.5487","14.6467","53246493"
"20160621T","14.712","14.8379","14.5873","14.6407","42834264"
"20160622T","13.298","13.73","13.05","13.1107","355591322"
"20160623T","13.046","13.17","12.8087","13.0933","151472774"
"20160624T","12.67","13.008","12.6487","12.8767","104834183"
"20160627T","12.724","13.254","12.5247","13.2367","108177291"
"20160628T","13.4593","13.6033","13.294","13.4527","92384894"
"20160629T","13.6753","14.1187","13.5333","14.0127","89806755"
"20160630T","14.198","14.2333","13.9347","14.152","71916564"
"20160701T","13.7427","14.5493","13.7333","14.4333","80940410"
"20160705T","13.982","14.3029","13.8667","14.2653","77547441"
"20160706T","14.0","14.3487","13.9333","14.296","73654238"
"20160707T","14.2067","14.5413","14.2007","14.396","54050748"
"20160708T","14.52","14.654","14.3","14.452","61006934"
"20160711T","14.664","15.1187","14.634","14.9853","80535950"
"20160712T","14.94","15.1667","14.8813","14.9767","68608091"
"20160713T","15.0333","15.0393","14.686","14.8353","53110458"
"20160714T","14.8747","14.996","14.7367","14.7687","39868465"
"20160715T","14.8347","14.85","14.6427","14.6933","33462298"
"20160718T","14.6427","15.1393","14.5533","15.0833","50918795"
"20160719T","15.0","15.2733","14.9833","15.0173","45713002"
"20160720T","15.098","15.32","15.0","15.224","38341766"
"20160721T","15.0667","15.1898","14.6067","14.7","66386307"
"20160722T","14.7993","14.9667","14.592","14.818","38556911"
"20160725T","14.818","15.426","14.7581","15.334","67192211"
"20160726T","15.1793","15.3333","15.02","15.3007","51408739"
"20160727T","15.2893","15.5573","15.128","15.2327","43305398"
"20160728T","15.1967","15.384","15.1067","15.374","36231912"
"20160729T","15.38","15.6853","15.3493","15.6527","45923587"
"20160801T","15.7","15.7753","15.292","15.334","60210690"
"20160802T","15.2913","15.3247","14.76","15.1467","58930561"
"20160803T","15.158","15.3133","14.9473","15.0527","57131176"
"20160804T","15.046","15.3907","14.8033","15.374","62132294"
"20160805T","15.3333","15.4667","15.16","15.3353","47855106"
"20160808T","15.2","15.3067","15.0727","15.0773","33891958"
"20160809T","15.1213","15.4358","15.11","15.272","32996474"
"20160810T","15.216","15.3247","14.9747","15.0433","35047422"
"20160811T","15.078","15.1713","14.894","14.994","28154371"
"20160812T","15.0273","15.11","14.936","15.0407","27177736"
"20160815T","15.068","15.3","14.9953","15.0393","30269445"
"20160816T","15.0327","15.146","14.894","14.9073","33766708"
"20160817T","14.9553","14.9887","14.8533","14.8827","26796107"
"20160818T","14.9213","15.044","14.8193","14.9007","25489487"
"20160819T","14.9027","15.0113","14.8353","15.0","24879228"
"20160822T","14.9447","15.0073","14.8453","14.862","30925365"
"20160823T","14.9547","15.2327","14.8533","14.9893","71216139"
"20160824T","15.1367","15.1433","14.8147","14.8413","38504186"
"20160825T","14.874","14.92","14.718","14.7307","26403167"
"20160826T","14.8093","14.857","14.588","14.666","33571288"
"20160829T","14.6767","14.6933","14.3333","14.3467","48920691"
"20160830T","14.4073","14.4073","14.0347","14.0893","47463306"
"20160831T","14.0287","14.1733","13.91","14.134","49122785"
"20160901T","13.934","14.0733","13.3667","13.3847","118986601"
"20160902T","13.4887","13.5467","13.08","13.1853","89552265"
"20160906T","13.268","13.55","13.2667","13.522","65792862"
"20160907T","13.7","13.7665","13.3807","13.4473","54568743"
"20160908T","13.3033","13.326","13.0907","13.1573","50584370"
"20160909T","13.2727","13.328","12.9133","12.9647","56305982"
"20160912T","13.0","13.4246","12.94","13.22","55710707"
"20160913T","13.1373","13.2327","12.8967","13.07","53747073"
"20160914T","13.05","13.195","12.9904","13.094","33842128"
"20160915T","13.0993","13.5013","13.0933","13.3613","46244107"
"20160916T","13.3613","13.7133","13.2667","13.6933","46563967"
"20160919T","13.8","13.962","13.6667","13.756","34474753"
"20160920T","13.79","13.85","13.594","13.6427","36128322"
"20160921T","13.758","13.8","13.4373","13.6813","39469255"
"20160922T","13.76","13.8187","13.5333","13.762","35723982"
"20160923T","13.7327","14.012","13.7113","13.83","43561853"
"20160926T","13.7667","14.0667","13.7667","13.9327","35900577"
"20160927T","13.9767","13.9988","13.6406","13.7207","50518580"
"20160928T","13.834","13.8833","13.684","13.7513","31189844"
"20160929T","13.7067","13.822","13.372","13.38","40710580"
"20160930T","13.4807","13.6653","13.3033","13.602","38725931"
"20161003T","14.1533","14.3779","13.8833","14.2467","89840085"
"20161004T","14.2067","14.2213","13.9213","14.094","53069268"
"20161005T","14.1493","14.21","13.8747","13.8973","28086826"
"20161006T","13.4973","13.614","13.3473","13.4","70469020"
"20161007T","13.4","13.4213","13.0533","13.1073","52342174"
"20161010T","13.4233","13.6093","13.3107","13.3967","49670075"
"20161011T","13.4567","13.48","13.2207","13.34","34901293"
"20161012T","13.3967","13.592","13.3613","13.434","29536470"
"20161013T","13.3667","13.393","13.1367","13.3493","37427081"
"20161014T","13.3773","13.4287","13.0867","13.1007","63982033"
"20161017T","13.1367","13.226","12.8","12.9307","67774931"
"20161018T","13.066","13.298","12.884","13.2733","85140647"
"20161019T","13.316","13.7773","13.204","13.5707","104492723"
"20161020T","13.4747","13.5333","13.1367","13.2733","76041112"
"20161021T","13.24","13.438","13.1607","13.3393","44053598"
"20161024T","13.4","13.5964","13.35","13.5173","41210139"
"20161025T","13.5267","13.646","13.4133","13.4893","36631752"
"20161026T","13.4","13.546","13.34","13.4827","80203355"
"20161027T","14.0893","14.2467","13.4433","13.6007","196064752"
"20161028T","13.6","13.688","13.322","13.3313","64101808"
"20161031T","13.4993","13.4993","13.054","13.182","70369765"
"20161101T","13.2027","13.2333","12.5403","12.7193","105355057"
"20161102T","12.67","12.8463","12.5003","12.5347","63633718"
"20161103T","12.6","12.7647","12.4693","12.4947","39668230"
"20161104T","12.6","12.8973","12.3973","12.704","77158686"
"20161107T","12.906","12.9527","12.67","12.8807","57865201"
"20161108T","12.9193","13.166","12.7507","12.996","48793881"
"20161109T","12.4583","12.8","12.2633","12.6707","122496644"
"20161110T","12.7367","12.774","12.028","12.3567","101194299"
"20161111T","12.2827","12.592","12.2","12.5707","59806335"
"20161114T","12.5333","12.55","11.8793","12.0967","98218646"
"20161115T","12.1853","12.4287","12.1367","12.2513","58496116"
"20161116T","12.1767","12.3153","12.0807","12.262","51489994"
"20161117T","12.2327","12.6327","12.1407","12.5773","73214498"
"20161118T","12.71","12.8667","12.3333","12.3347","78097056"
"20161121T","12.336","12.5927","12.294","12.3013","65338047"
"20161122T","12.3893","12.7647","12.2473","12.7447","84018528"
"20161123T","12.7073","13.0429","12.6","12.876","73354238"
"20161125T","12.9093","13.1492","12.9093","13.11","35491452"
"20161128T","13.032","13.29","12.97","13.0747","67816196"
"20161129T","13.0373","13.1153","12.6333","12.638","66529647"
"20161130T","12.7333","12.7927","12.5","12.6267","53173338"
"20161201T","12.55","12.5687","12.0667","12.1253","76786537"
"20161202T","12.192","12.3253","12.0","12.098","60602985"
"20161205T","12.1673","12.5927","12.1673","12.4533","61042169"
"20161206T","12.368","12.4387","12.1788","12.39","50840450"
"20161207T","12.41","12.8933","12.3333","12.8767","81856024"
"20161208T","12.8033","12.8333","12.636","12.8193","47905236"
"20161209T","12.7247","12.9224","12.7207","12.812","40814035"
"20161212T","12.8533","12.9613","12.736","12.8287","36546402"
"20161213T","12.8787","13.4187","12.8667","13.21","102289779"
"20161214T","13.2493","13.5333","13.1173","13.246","62209679"
"20161215T","13.2273","13.3827","13.1593","13.172","48279771"
"20161216T","13.2053","13.506","13.1733","13.4993","56931632"
"20161219T","13.4993","13.63","13.3227","13.5153","52304029"
"20161220T","13.5367","13.9333","13.5","13.9193","70264000"
"20161221T","13.8967","14.1487","13.8273","13.8467","78092106"
"20161222T","13.8813","13.9993","13.7667","13.8967","46626382"
"20161223T","13.8667","14.23","13.8473","14.2227","70023910"
"20161227T","14.3253","14.8167","14.2947","14.6353","88699981"
"20161228T","14.7687","14.92","14.48","14.6493","56678132"
"20161229T","14.5707","14.6133","14.2748","14.312","60646260"
"20161230T","14.42","14.5","14.112","14.246","69619285"
"20170103T","14.324","14.6887","14.064","14.466","88522366"
"20170104T","14.3167","15.2","14.2873","15.1327","168068316"
"20170105T","15.0947","15.1653","14.7967","15.1167","88633861"
"20170106T","15.1287","15.354","15.03","15.2673","82862254"
"20170109T","15.2647","15.4613","15.2","15.4187","59590710"
"20170110T","15.4667","15.4667","15.126","15.3247","54884688"
"20170111T","15.2713","15.332","15.112","15.3153","54748623"
"20170112T","15.2707","15.38","15.0387","15.306","56813177"
"20170113T","15.3333","15.8567","15.306","15.85","91284104"
"20170117T","15.78","15.9973","15.6247","15.7053","69220930"
"20170118T","15.7767","15.9807","15.7053","15.8907","56509052"
"20170119T","16.4833","16.5787","16.05","16.2507","115758602"
"20170120T","16.364","16.4","16.2007","16.3153","62995769"
"20170123T","16.39","16.726","16.3667","16.5947","93931408"
"20170124T","16.6667","16.9867","16.6433","16.974","74372123"
"20170125T","17.154","17.2307","16.7867","16.9647","77179476"
"20170126T","16.9527","17.0493","16.7167","16.834","47155731"
"20170127T","16.7587","16.8667","16.568","16.8633","47426586"
"20170130T","16.8353","17.0193","16.4733","16.7087","56979542"
"20170131T","16.616","17.0593","16.5133","16.7953","61680164"
"20170201T","16.87","16.88","16.6033","16.616","59296545"
"20170202T","16.556","16.828","16.514","16.77","37481966"
"20170203T","16.794","16.8119","16.6453","16.7553","32778434"
"20170206T","16.7333","17.188","16.7087","17.1847","53363973"
"20170207T","17.2127","17.3333","17.0947","17.1653","63660913"
"20170208T","17.1567","17.5573","17.08","17.472","58686391"
"20170209T","17.75","18.0787","17.7433","17.9467","117188941"
"20170210T","17.986","18.0633","17.7407","17.9487","54275013"
"20170213T","18.0493","18.7193","18.034","18.7067","105346027"
"20170214T","18.602","19.1593","18.574","18.732","110121695"
"20170215T","18.6667","18.816","18.4293","18.6507","74158148"
"20170216T","18.5067","18.6667","17.9","17.93","105957847"
"20170217T","17.72","18.1927","17.61","18.1487","93771988"
"20170221T","18.3633","18.76","18.2673","18.4927","84713583"
"20170222T","18.6873","18.8967","18.1733","18.234","128067101"
"20170223T","17.6","17.644","17.0373","17.066","223156238"
"20170224T","16.844","17.2167","16.68","17.1333","122502974"
"20170227T","16.5447","16.5573","16.134","16.4153","171752314"
"20170228T","16.2793","16.7333","16.26","16.666","91108304"
"20170301T","16.9453","16.99","16.6073","16.668","72074409"
"20170302T","16.6473","16.8853","16.5513","16.6987","50186240"
"20170303T","16.716","16.7933","16.6","16.7713","43882193"
"20170306T","16.5273","16.78","16.5007","16.7473","50303990"
"20170307T","16.7947","16.926","16.5547","16.5727","51788779"
"20170308T","16.4667","16.6713","16.3547","16.458","55901162"
"20170309T","16.5087","16.5773","16.2","16.3267","58147381"
