"Date","Open","High","Low","Close","Volume"
"2011-08-24","1.5400","1.5953","1.5220","1.5913","10263565"
"2011-08-25","1.5913","1.5913","1.5267","1.5407","10196095"
"2011-08-26","1.5140","1.5967","1.4713","1.5820","11426334"
"2011-08-29","1.6147","1.6567","1.6013","1.6473","12049524"
"2011-08-30","1.6333","1.6513","1.6060","1.6420","5492382"
"2011-08-31","1.6533","1.7000","1.6187","1.6493","12356019"
"2011-09-01","1.6440","1.6580","1.5890","1.6000","12721269"
"2011-09-02","1.5773","1.5993","1.5120","1.5380","11547459"
"2011-09-06","1.5000","1.5467","1.4860","1.5293","12146394"
"2011-09-07","1.5593","1.6000","1.5520","1.5893","6887787"
"2011-09-08","1.5720","1.6020","1.5520","1.5740","7585451"
"2011-09-09","1.5580","1.5713","1.5033","1.5313","10038940"
"2011-09-12","1.5000","1.5540","1.4967","1.5253","8498561"
"2011-09-13","1.5340","1.6067","1.5167","1.6053","10896910"
"2011-09-14","1.6167","1.6560","1.5860","1.6227","12461649"
"2011-09-15","1.6387","1.6620","1.6220","1.6547","8437676"
"2011-09-16","1.6520","1.7227","1.6327","1.7200","21001384"
"2011-09-19","1.6633","1.7207","1.5880","1.7180","17360226"
"2011-09-20","1.7320","1.7733","1.7113","1.7340","17705256"
"2011-09-21","1.7300","1.7967","1.7133","1.7233","14813648"
"2011-09-22","1.7093","1.7407","1.6587","1.7087","11637024"
"2011-09-23","1.6993","1.7747","1.6900","1.7587","17344911"
"2011-09-26","1.7680","1.7680","1.6600","1.7013","14016218"
"2011-09-27","1.7333","1.7993","1.7047","1.7460","10116430"
"2011-09-28","1.7333","1.7667","1.6340","1.6393","10848085"
"2011-09-29","1.7147","1.7213","1.5700","1.6080","13943168"
"2011-09-30","1.6533","1.6593","1.5660","1.6260","20040800"
"2011-10-03","1.6633","1.6667","1.5500","1.5820","15346942"
"2011-10-04","1.5527","1.6213","1.5287","1.5773","18003201"
"2011-10-05","1.6020","1.7223","1.5567","1.6913","18436011"
"2011-10-06","1.6913","1.8400","1.6680","1.7973","26535377"
"2011-10-07","1.7987","1.8400","1.7367","1.7993","19673210"
"2011-10-10","1.8207","1.8787","1.8000","1.8587","13851233"
"2011-10-11","1.8340","1.8513","1.8060","1.8407","8634041"
"2011-10-12","1.8167","1.8667","1.8133","1.8533","16850452"
"2011-10-13","1.8420","1.8980","1.8293","1.8627","15651187"
"2011-10-14","1.8667","1.9033","1.8173","1.8700","21007024"
"2011-10-17","1.8573","1.8667","1.8173","1.8280","11316579"
"2011-10-18","1.8200","1.8952","1.7807","1.8893","14920343"
"2011-10-19","1.8680","1.8707","1.8200","1.8380","11892744"
"2011-10-20","1.8293","1.8313","1.8000","1.8227","14994698"
"2011-10-21","1.8267","1.8867","1.8007","1.8687","17138241"
